	Views	Protein	Species	E-value	% identity	Align len	Strands	Query ID	Query from	Query to	Target from	Target to	Bitscore	# identical	Positives	Gaps	Query len	Target len
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.09G203300.1.p	Glyma.09G203300.1.p	G.max Wm82.a4.v1	2.41e-12	38	106	+/+	AT1G15050.1	94	182	235	340	66.6254	40	55	17	185	355
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.09G161100.1.p	GlysoPI483463.09G161100.1.p	G.soja v1.1	2.44e-12	38	106	+/+	AT1G15050.1	94	182	235	340	66.6254	40	55	17	185	355
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.09G203300.3.p	Glyma.09G203300.3.p	G.max Wm82.a4.v1	2.58e-12	38	106	+/+	AT1G15050.1	94	182	235	340	66.6254	40	55	17	185	349
	phytozome-next.jgi.doe.gov/report/protein/Ljaponicus_Lj1_0v1/Lj1g0024576.1	Lj1g0024576.1	L.japonicus Lj1.0v1	3.18e-12	29	194	+/+	AT1G15050.1	15	182	50	243	65.855	57	84	26	185	258
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.13G085100.1.p	GlysoPI483463.13G085100.1.p	G.soja v1.1	3.65e-12	40	85	+/+	AT1G15050.1	94	177	106	190	64.6994	34	48	1	185	195
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.13G117100.2.p	Glyma.13G117100.2.p	G.max Wm82.a4.v1	3.65e-12	40	85	+/+	AT1G15050.1	94	177	106	190	64.6994	34	48	1	185	195
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT2G46990.1	AT2G46990.1	A.thaliana Araport11	4.27e-12	38	92	+/+	AT1G15050.1	94	179	86	172	63.929	35	49	11	185	176
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.20G187100.1.p	GlysoPI483463.20G187100.1.p	G.soja v1.1	4.56e-12	35	113	+/+	AT1G15050.1	80	182	101	213	64.6994	40	61	10	185	228
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.20G225000.1.p	Glyma.20G225000.1.p	G.max Wm82.a4.v1	4.56e-12	35	113	+/+	AT1G15050.1	80	182	101	213	64.6994	40	61	10	185	228
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.09G193000.1.p	Glyma.09G193000.1.p	G.max Wm82.a4.v1	5.08e-12	33	132	+/+	AT1G15050.1	67	182	162	293	65.4698	44	65	16	185	308
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.01G076600.1.p	GlysoPI483463.01G076600.1.p	G.soja v1.1	5.49e-12	36	105	+/+	AT1G15050.1	94	182	232	336	65.855	38	56	16	185	351
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.01G098000.3.p	Glyma.01G098000.3.p	G.max Wm82.a4.v1	5.49e-12	36	105	+/+	AT1G15050.1	94	182	232	336	65.855	38	56	16	185	351
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.01G098000.4.p	Glyma.01G098000.4.p	G.max Wm82.a4.v1	5.49e-12	36	105	+/+	AT1G15050.1	94	182	232	336	65.855	38	56	16	185	351
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.01G098000.5.p	Glyma.01G098000.5.p	G.max Wm82.a4.v1	5.49e-12	36	105	+/+	AT1G15050.1	94	182	232	336	65.855	38	56	16	185	351
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.01G098000.6.p	Glyma.01G098000.6.p	G.max Wm82.a4.v1	5.49e-12	36	105	+/+	AT1G15050.1	94	182	232	336	65.855	38	56	16	185	351
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.08G186400.1.p	GlysoPI483463.08G186400.1.p	G.soja v1.1	6.19e-12	32	136	+/+	AT1G15050.1	67	182	174	308	65.4698	44	63	21	185	323
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.08G203100.1.p	Glyma.08G203100.1.p	G.max Wm82.a4.v1	6.19e-12	32	136	+/+	AT1G15050.1	67	182	174	308	65.4698	44	63	21	185	323
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT1G15580.1	AT1G15580.1	A.thaliana Araport11	7.65e-119	100	163	+/+	AT1G15580.1	1	163	1	163	334.724	163	163	0	163	164
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.07G030400.1.p	GlysoPI483463.07G030400.1.p	G.soja v1.1	4.61e-57	58	171	+/+	AT1G15580.1	1	163	1	169	179.104	99	114	10	163	188
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.07G034200.1.p	Glyma.07G034200.1.p	G.max Wm82.a4.v1	4.61e-57	58	171	+/+	AT1G15580.1	1	163	1	169	179.104	99	114	10	163	188
	phytozome-next.jgi.doe.gov/report/protein/Ljaponicus_Lj1_0v1/Lj3g0026009.1	Lj3g0026009.1	L.japonicus Lj1.0v1	1.62e-56	60	178	+/+	AT1G15580.1	1	163	1	170	177.948	107	120	23	163	189
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.08G190800.1.p	GlysoPI483463.08G190800.1.p	G.soja v1.1	7.52e-55	57	179	+/+	AT1G15580.1	1	163	1	177	174.096	102	116	18	163	196
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.08G207900.1.p	Glyma.08G207900.1.p	G.max Wm82.a4.v1	7.52e-55	57	179	+/+	AT1G15580.1	1	163	1	177	174.096	102	116	18	163	196
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.13G361100.1.p	Glyma.13G361100.1.p	G.max Wm82.a4.v1	1.10e-53	57	174	+/+	AT1G15580.1	4	163	2	171	170.629	99	118	18	163	190
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.15G011900.1.p	GlysoPI483463.15G011900.1.p	G.soja v1.1	1.33e-53	58	174	+/+	AT1G15580.1	4	163	2	169	170.629	101	118	20	163	188
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.15G012800.1.p	Glyma.15G012800.1.p	G.max Wm82.a4.v1	1.33e-53	58	174	+/+	AT1G15580.1	4	163	2	169	170.629	101	118	20	163	188
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.13G308600.1.p	GlysoPI483463.13G308600.1.p	G.soja v1.1	3.35e-53	56	174	+/+	AT1G15580.1	4	163	2	171	169.474	98	118	18	163	190
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT3G15540.1	AT3G15540.1	A.thaliana Araport11	5.53e-48	53	190	+/+	AT1G15580.1	4	163	2	187	156.377	100	114	34	163	198
	phytozome-next.jgi.doe.gov/report/protein/Mtruncatula_Mt4_0v1/Medtr4g011880.1	Medtr4g011880.1	M.truncatula Mt4.0v1	2.19e-46	57	175	+/+	AT1G15580.1	1	163	1	165	151.754	100	118	22	163	179
	phytozome-next.jgi.doe.gov/report/protein/Ljaponicus_Lj1_0v1/Lj5g0011060.1	Lj5g0011060.1	L.japonicus Lj1.0v1	7.60e-46	47	186	+/+	AT1G15580.1	1	163	1	185	150.984	87	109	24	163	190
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.02G000500.1.p	GlysoPI483463.02G000500.1.p	G.soja v1.1	9.27e-46	47	179	+/+	AT1G15580.1	6	163	9	187	150.599	84	110	21	163	193
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.02G000500.1.p	Glyma.02G000500.1.p	G.max Wm82.a4.v1	9.27e-46	47	179	+/+	AT1G15580.1	6	163	9	187	150.599	84	110	21	163	193
	phytozome-next.jgi.doe.gov/report/protein/Mtruncatula_Mt4_0v1/Medtr1g070830.1	Medtr1g070830.1	M.truncatula Mt4.0v1	1.36e-44	45	197	+/+	AT1G15580.1	1	163	5	200	148.288	88	110	35	163	205
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT5G43700.1	AT5G43700.1	A.thaliana Araport11	3.66e-44	51	173	+/+	AT1G15580.1	8	163	11	180	146.362	89	111	20	163	187
	phytozome-next.jgi.doe.gov/report/protein/Mtruncatula_Mt4_0v1/Medtr1g093350.1	Medtr1g093350.1	M.truncatula Mt4.0v1	3.87e-44	51	172	+/+	AT1G15580.1	6	163	9	177	145.976	87	107	17	163	179
	phytozome-next.jgi.doe.gov/report/protein/Mtruncatula_Mt4_0v1/Medtr1g076270.1	Medtr1g076270.1	M.truncatula Mt4.0v1	3.87e-44	51	172	+/+	AT1G15580.1	6	163	9	177	145.976	87	107	17	163	179
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.02G124600.1.p	GlysoPI483463.02G124600.1.p	G.soja v1.1	9.11e-44	47	188	+/+	AT1G15580.1	8	163	12	198	145.976	89	109	33	163	203
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.02G142600.1.p	Glyma.02G142600.1.p	G.max Wm82.a4.v1	9.11e-44	47	188	+/+	AT1G15580.1	8	163	12	198	145.976	89	109	33	163	203
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT1G52830.1	AT1G52830.1	A.thaliana Araport11	1.44e-43	51	185	+/+	AT1G15580.1	1	163	1	183	145.206	94	111	24	163	190
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.10G148800.1.p	GlysoPI483463.10G148800.1.p	G.soja v1.1	6.33e-43	46	182	+/+	AT1G15580.1	6	163	9	187	143.665	83	108	27	163	193
	phytozome-next.jgi.doe.gov/report/protein/Mtruncatula_Mt4_0v1/Medtr1g093240.2	Medtr1g093240.2	M.truncatula Mt4.0v1	7.19e-43	42	219	+/+	AT1G15580.1	1	159	1	219	144.821	92	113	60	163	240
	phytozome-next.jgi.doe.gov/report/protein/Mtruncatula_Mt4_0v1/Medtr1g093240.1	Medtr1g093240.1	M.truncatula Mt4.0v1	9.57e-43	41	219	+/+	AT1G15580.1	1	159	1	219	144.436	90	111	60	163	237
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.20G173400.1.p	GlysoPI483463.20G173400.1.p	G.soja v1.1	1.03e-42	46	181	+/+	AT1G15580.1	6	163	10	189	142.895	83	108	24	163	195
	phytozome-next.jgi.doe.gov/report/protein/Ljaponicus_Lj1_0v1/Lj5g0015298.1	Lj5g0015298.1	L.japonicus Lj1.0v1	1.64e-42	47	168	+/+	AT1G15580.1	3	163	9	172	142.124	79	103	11	163	178
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT1G04240.1	AT1G04240.1	A.thaliana Araport11	2.87e-42	47	180	+/+	AT1G15580.1	8	163	5	184	141.739	84	112	24	163	190
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.20G210500.1.p	Glyma.20G210500.1.p	G.max Wm82.a4.v1	8.26e-42	45	181	+/+	AT1G15580.1	6	163	10	189	140.584	81	108	24	163	195
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT1G04240.2	AT1G04240.2	A.thaliana Araport11	8.94e-42	47	180	+/+	AT1G15580.1	8	163	105	284	143.28	84	112	24	163	290
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.10G148900.1.p	GlysoPI483463.10G148900.1.p	G.soja v1.1	1.39e-41	44	218	+/+	AT1G15580.1	1	159	5	222	141.354	95	117	59	163	240
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.03G123700.1.p	GlysoPI483463.03G123700.1.p	G.soja v1.1	1.41e-41	39	229	+/+	AT1G15580.1	3	157	6	233	142.124	90	118	75	163	255
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.03G158700.1.p	Glyma.03G158700.1.p	G.max Wm82.a4.v1	1.41e-41	39	229	+/+	AT1G15580.1	3	157	6	233	142.124	90	118	75	163	255
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.10G180100.1.p	Glyma.10G180100.1.p	G.max Wm82.a4.v1	1.83e-41	43	218	+/+	AT1G15580.1	1	159	5	222	141.354	93	115	59	163	240
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.10G029300.1.p	GlysoPI483463.10G029300.1.p	G.soja v1.1	2.88e-41	46	194	+/+	AT1G15580.1	1	163	1	193	139.428	89	105	32	163	198
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.10G031800.3.p	Glyma.10G031800.3.p	G.max Wm82.a4.v1	2.88e-41	46	194	+/+	AT1G15580.1	1	163	1	193	139.428	89	105	32	163	198
	phytozome-next.jgi.doe.gov/report/protein/Mtruncatula_Mt4_0v1/Medtr1g040675.1	Medtr1g040675.1	M.truncatula Mt4.0v1	7.73e-41	46	180	+/+	AT1G15580.1	10	163	3	181	137.887	83	105	27	163	187
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.20G187100.1.p	GlysoPI483463.20G187100.1.p	G.soja v1.1	8.33e-41	40	211	+/+	AT1G15580.1	8	159	2	210	139.043	85	112	61	163	228
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.20G225000.1.p	Glyma.20G225000.1.p	G.max Wm82.a4.v1	8.33e-41	40	211	+/+	AT1G15580.1	8	159	2	210	139.043	85	112	61	163	228
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT3G23030.1	AT3G23030.1	A.thaliana Araport11	9.71e-41	50	163	+/+	AT1G15580.1	6	159	7	165	137.502	82	97	13	163	175
	phytozome-next.jgi.doe.gov/report/protein/Ljaponicus_Lj1_0v1/Lj5g0010241.1	Lj5g0010241.1	L.japonicus Lj1.0v1	1.90e-40	42	217	+/+	AT1G15580.1	6	159	10	225	138.658	92	114	64	163	243
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.10G133000.1.p	GlysoPI483463.10G133000.1.p	G.soja v1.1	3.91e-40	40	217	+/+	AT1G15580.1	8	159	2	214	137.502	87	111	69	163	232
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT3G23030.2	AT3G23030.2	A.thaliana Araport11	5.92e-40	50	163	+/+	AT1G15580.1	6	159	94	252	137.887	82	97	13	163	262
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.19G124900.1.p	GlysoPI483463.19G124900.1.p	G.soja v1.1	1.68e-39	39	224	+/+	AT1G15580.1	7	157	9	231	136.732	88	114	74	163	253
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.19G161100.1.p	Glyma.19G161100.1.p	G.max Wm82.a4.v1	1.68e-39	39	224	+/+	AT1G15580.1	7	157	9	231	136.732	88	114	74	163	253
	phytozome-next.jgi.doe.gov/report/protein/Ljaponicus_Lj1_0v1/Lj1g0027501.1	Lj1g0027501.1	L.japonicus Lj1.0v1	3.39e-39	43	195	+/+	AT1G15580.1	1	163	1	192	134.035	84	108	35	163	197
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.10G162400.2.p	Glyma.10G162400.2.p	G.max Wm82.a4.v1	4.76e-39	39	214	+/+	AT1G15580.1	8	159	2	214	134.806	84	110	63	163	232
	phytozome-next.jgi.doe.gov/report/protein/Ljaponicus_Lj1_0v1/Lj1g0008395.1	Lj1g0008395.1	L.japonicus Lj1.0v1	9.79e-39	37	227	+/+	AT1G15580.1	8	159	11	236	134.806	84	109	76	163	254
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT3G04730.1	AT3G04730.1	A.thaliana Araport11	1.16e-38	41	222	+/+	AT1G15580.1	8	159	2	219	134.035	90	111	74	163	237
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT3G23050.1	AT3G23050.1	A.thaliana Araport11	1.80e-38	41	221	+/+	AT1G15580.1	8	159	6	225	133.65	90	113	70	163	244
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.20G173300.1.p	GlysoPI483463.20G173300.1.p	G.soja v1.1	1.96e-38	40	223	+/+	AT1G15580.1	1	159	4	226	133.65	90	114	64	163	244
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.03G123600.1.p	GlysoPI483463.03G123600.1.p	G.soja v1.1	4.36e-38	43	199	+/+	AT1G15580.1	4	163	5	202	131.724	85	108	40	163	207
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.03G158600.1.p	Glyma.03G158600.1.p	G.max Wm82.a4.v1	5.42e-38	43	199	+/+	AT1G15580.1	4	163	5	202	131.339	85	108	40	163	207
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.19G161000.1.p	Glyma.19G161000.1.p	G.max Wm82.a4.v1	5.84e-38	43	202	+/+	AT1G15580.1	1	163	1	200	131.339	87	112	41	163	205
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.19G124800.1.p	GlysoPI483463.19G124800.1.p	G.soja v1.1	7.50e-38	43	202	+/+	AT1G15580.1	1	163	1	200	130.954	87	112	41	163	205
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT4G14550.1	AT4G14550.1	A.thaliana Araport11	8.14e-38	41	213	+/+	AT1G15580.1	8	159	1	211	131.724	88	109	63	163	229
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT4G14550.2	AT4G14550.2	A.thaliana Araport11	1.33e-37	41	213	+/+	AT1G15580.1	8	159	1	211	131.339	88	109	63	163	235
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.20G210400.1.p	Glyma.20G210400.1.p	G.max Wm82.a4.v1	3.31e-37	50	146	+/+	AT1G15580.1	46	159	169	314	132.88	73	90	32	163	332
	phytozome-next.jgi.doe.gov/report/protein/Mtruncatula_Mt4_0v1/Medtr1g080860.2	Medtr1g080860.2	M.truncatula Mt4.0v1	3.53e-37	39	223	+/+	AT1G15580.1	8	159	15	236	130.183	88	110	72	163	244
	phytozome-next.jgi.doe.gov/report/protein/Mtruncatula_Mt4_0v1/Medtr1g070520.1	Medtr1g070520.1	M.truncatula Mt4.0v1	6.57e-37	40	210	+/+	AT1G15580.1	13	157	18	226	129.798	85	102	66	163	246
	phytozome-next.jgi.doe.gov/report/protein/Mtruncatula_Mt4_0v1/Medtr1g080860.1	Medtr1g080860.1	M.truncatula Mt4.0v1	6.61e-37	39	223	+/+	AT1G15580.1	8	159	15	236	129.798	88	110	72	163	254
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.02G124500.1.p	GlysoPI483463.02G124500.1.p	G.soja v1.1	9.11e-37	48	157	+/+	AT1G15580.1	33	157	72	227	129.413	75	94	33	163	247
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.02G142500.3.p	Glyma.02G142500.3.p	G.max Wm82.a4.v1	9.11e-37	48	157	+/+	AT1G15580.1	33	157	72	227	129.413	75	94	33	163	247
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT4G14560.1	AT4G14560.1	A.thaliana Araport11	1.18e-36	47	163	+/+	AT1G15580.1	5	159	4	162	126.716	77	101	12	163	169
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.02G180600.1.p	GlysoPI483463.02G180600.1.p	G.soja v1.1	1.30e-36	49	143	+/+	AT1G15580.1	48	159	208	349	132.109	70	84	32	163	367
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.02G218100.3.p	Glyma.02G218100.3.p	G.max Wm82.a4.v1	1.30e-36	49	143	+/+	AT1G15580.1	48	159	208	349	132.109	70	84	32	163	367
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.02G218100.1.p	Glyma.02G218100.1.p	G.max Wm82.a4.v1	1.30e-36	49	143	+/+	AT1G15580.1	48	159	208	349	132.109	70	84	32	163	367
	phytozome-next.jgi.doe.gov/report/protein/Ljaponicus_Lj1_0v1/Lj1g0024576.1	Lj1g0024576.1	L.japonicus Lj1.0v1	1.32e-36	48	152	+/+	AT1G15580.1	44	157	88	238	129.413	73	88	39	163	258
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT1G04250.1	AT1G04250.1	A.thaliana Araport11	1.51e-36	41	208	+/+	AT1G15580.1	8	159	7	212	128.257	85	109	58	163	230
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.19G203200.1.p	GlysoPI483463.19G203200.1.p	G.soja v1.1	1.74e-36	39	207	+/+	AT1G15580.1	8	163	11	217	128.257	80	106	51	163	231
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.19G245200.1.p	Glyma.19G245200.1.p	G.max Wm82.a4.v1	1.74e-36	39	207	+/+	AT1G15580.1	8	163	11	217	128.257	80	106	51	163	231
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.10G029400.1.p	GlysoPI483463.10G029400.1.p	G.soja v1.1	3.30e-36	49	141	+/+	AT1G15580.1	46	157	90	229	127.872	69	85	30	163	249
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.10G031900.1.p	Glyma.10G031900.1.p	G.max Wm82.a4.v1	3.30e-36	49	141	+/+	AT1G15580.1	46	157	90	229	127.872	69	85	30	163	249
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.10G180000.1.p	Glyma.10G180000.1.p	G.max Wm82.a4.v1	3.55e-36	55	118	+/+	AT1G15580.1	51	163	4	120	124.02	65	83	6	163	126
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.04G089900.2.p	Glyma.04G089900.2.p	G.max Wm82.a4.v1	4.88e-36	48	143	+/+	AT1G15580.1	48	159	202	343	130.183	69	85	32	163	361
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.04G089900.1.p	Glyma.04G089900.1.p	G.max Wm82.a4.v1	4.88e-36	48	143	+/+	AT1G15580.1	48	159	202	343	130.183	69	85	32	163	361
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.04G082100.1.p	GlysoPI483463.04G082100.1.p	G.soja v1.1	5.20e-36	48	143	+/+	AT1G15580.1	48	159	202	343	130.183	69	85	32	163	361
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.13G361200.1.p	Glyma.13G361200.1.p	G.max Wm82.a4.v1	5.88e-36	44	171	+/+	AT1G15580.1	1	156	1	162	125.561	76	104	24	163	184
	phytozome-next.jgi.doe.gov/report/protein/Mtruncatula_Mt4_0v1/Medtr5g030710.1	Medtr5g030710.1	M.truncatula Mt4.0v1	6.62e-36	45	145	+/+	AT1G15580.1	46	159	174	318	129.413	65	85	31	163	336
	phytozome-next.jgi.doe.gov/report/protein/Mtruncatula_Mt4_0v1/Medtr5g030710.2	Medtr5g030710.2	M.truncatula Mt4.0v1	6.62e-36	45	145	+/+	AT1G15580.1	46	159	174	318	129.413	65	85	31	163	336
	phytozome-next.jgi.doe.gov/report/protein/Ljaponicus_Lj1_0v1/LjContig00408g0010987.2	LjContig00408g0010987.2	L.japonicus Lj1.0v1	6.86e-36	41	184	+/+	AT1G15580.1	9	159	158	334	129.798	76	99	40	163	352
	phytozome-next.jgi.doe.gov/report/protein/Ljaponicus_Lj1_0v1/Lj5g0019198.1	Lj5g0019198.1	L.japonicus Lj1.0v1	6.86e-36	50	139	+/+	AT1G15580.1	48	157	107	244	127.487	70	83	30	163	264
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.03G205900.1.p	GlysoPI483463.03G205900.1.p	G.soja v1.1	7.69e-36	39	218	+/+	AT1G15580.1	8	159	11	226	126.716	84	107	68	163	244
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.01G076600.1.p	GlysoPI483463.01G076600.1.p	G.soja v1.1	7.72e-36	44	170	+/+	AT1G15580.1	21	159	178	333	129.413	75	92	45	163	351
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.01G098000.3.p	Glyma.01G098000.3.p	G.max Wm82.a4.v1	7.72e-36	44	170	+/+	AT1G15580.1	21	159	178	333	129.413	75	92	45	163	351
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.01G098000.4.p	Glyma.01G098000.4.p	G.max Wm82.a4.v1	7.72e-36	44	170	+/+	AT1G15580.1	21	159	178	333	129.413	75	92	45	163	351
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.01G098000.5.p	Glyma.01G098000.5.p	G.max Wm82.a4.v1	7.72e-36	44	170	+/+	AT1G15580.1	21	159	178	333	129.413	75	92	45	163	351
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.01G098000.6.p	Glyma.01G098000.6.p	G.max Wm82.a4.v1	7.72e-36	44	170	+/+	AT1G15580.1	21	159	178	333	129.413	75	92	45	163	351
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.14G146400.1.p	GlysoPI483463.14G146400.1.p	G.soja v1.1	7.79e-36	48	143	+/+	AT1G15580.1	48	159	209	350	129.798	68	85	32	163	368
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.14G185400.1.p	Glyma.14G185400.1.p	G.max Wm82.a4.v1	7.79e-36	48	143	+/+	AT1G15580.1	48	159	209	350	129.798	68	85	32	163	368
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.13G308700.1.p	GlysoPI483463.13G308700.1.p	G.soja v1.1	7.96e-36	44	171	+/+	AT1G15580.1	1	156	1	162	125.176	76	104	24	163	184
	phytozome-next.jgi.doe.gov/report/protein/Mtruncatula_Mt4_0v1/Medtr6g488150.1	Medtr6g488150.1	M.truncatula Mt4.0v1	1.09e-35	36	227	+/+	AT1G15580.1	5	159	12	237	126.716	81	110	73	163	255
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.03G247400.1.p	Glyma.03G247400.1.p	G.max Wm82.a4.v1	1.36e-35	39	218	+/+	AT1G15580.1	8	159	11	226	126.331	84	107	68	163	244
	phytozome-next.jgi.doe.gov/report/protein/Ljaponicus_Lj1_0v1/Lj5g0007982.1	Lj5g0007982.1	L.japonicus Lj1.0v1	2.76e-35	40	173	+/+	AT1G15580.1	32	159	80	251	125.946	70	94	46	163	267
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT4G29080.1	AT4G29080.1	A.thaliana Araport11	2.87e-35	43	178	+/+	AT1G15580.1	23	159	112	288	127.102	76	97	42	163	306
	phytozome-next.jgi.doe.gov/report/protein/Mtruncatula_Mt4_0v1/Medtr5g067350.1	Medtr5g067350.1	M.truncatula Mt4.0v1	3.01e-35	45	140	+/+	AT1G15580.1	48	159	191	330	127.872	63	85	28	163	348
